type,raw-type,words
tempo,"속도, 빠르기","쏜살같다, 미디움, 빠르다, 늦다, 엇박, 일정하다, 꾸준하다, 반복되다, 끊기다, 고조되다, 느리다, 박자, 속도, 주기적, 리듬"
"frequency
 (pitch)","주파수, 음높이","고음, 빈도, 높다, 높낮이, 음정, 낮다, 떨어지다, 진동, 저음, 중저음, 음역대, 폭, 톤"
tonality,"음조, 음악의 조화, 화음","조화롭다, 어울리다, 어우러지다, 음색, 화음, 알맞다, 자연스럽다, 선율, 조화"
"articulation
 /duration","연주, 지속시간","짧다, 스타카토, 줄어들다, 늘어지다, 길다, 길어지다, 짧아지다, 늘다, 처음, 초반, 중반부, 중간, 하이라이트, 끝, 마지막, 구간, 전체"
"timbre
 /harmonics","다양한, 풍성한 음색","다양해지다, 다양하다, 풍성하다"
loudness,음악의 크기,"커지다, 볼륨, 악센트, 크다, 포르테, 크레센도, 사운드, 소리, 작다, 강하다, 약하다, 웅장하다, 작아지다, 세다, 강도, 강약"
감각,시각,"어둑하다, 어둑해지다, 침침하다, 눈부시다, 훤하다, 밝다, 어둡다, 대조되다, 대비되다"
감각,시각,"그을리다, 파래지다, 시커멓다, 뽀얗다, 아이보리, 붉다, 하늘색, 밤색, 푸릇푸릇하다, 다채롭다, 푸르다, 연분홍, 뿌예지다, 푸른빛, 연두색, 파랑, 까만색, 핑크, 오렌지색, 살구색, 카키, 우윳빛, 구릿빛, 흑색, 백색, 살색, 바다색, 까맣다, 황금색, 푸르스름, 천연색, 보라색, 초록, 검정색, 투명하다, 빨간색, 파란색, 색감"
감각,시각,"드넓다, 멀다, 얄팍하다, 납작하다, 길쭉하다, 평평하다, 삐뚤다, 폭넓다, 광활하다, 삼각형, 대각선, 선, 깊다, 좁다, 넓다, 굵다, 굵직하다, 얕다, 가깝다, 커다랗다, 동그랗다, 원"
감각,시각,"즐비하다, 빽빽하다, 엷다, 촘촘히, 널널하다"
감각,청각,"짤랑이다, 시끌벅적하다, 재재하다, 꽥꽥대다, 앵앵대다, 콩콩대다, 듣다, 꿀렁이다, 청아하다, 문소리, 들었다, 쿵쿵거리다, 시끌시끌하다, 달그락거리다, 헐떡이다, 곡소리, 쨍하다, 잔잔하다, 목소리, 파다소리, 벨소리, 쿵쾅, 달팽이관, 들리다, 시끄럽다, 조용하다, 은은하다, 난잡하다, 퍼지다, 북소리, 발소리"
감각,후각,"꽃내음, 젖비린내, 냄새나다, 향기, 향기롭다"
감각,미각,"달짝지근하다, 시큼시큼하다, 씁쓰름하다, 비리다, 맛있다, 얼얼하다, 달다, 쫄깃하다, 쓴맛, 쫀득하다, 텁텁하다, 달콤하다, 짜다, 씁쓸하다, 맛깔나다, 담백하다, 달달하다"
감각,촉각,"욱씬하다, 따끔하다, 찌릿하다, 시리다, 아프다, 쓰라리다,"
감각,촉각,"탱탱하다, 땡땡하다, 거칠다, 번드럽다, 둔감하다, 몰캉몰캉하다, 뽀송하다, 매끈하다, 물렁하다, 둔하다, 촉촉하다, 푹신푹신하다, 마찰, 녹진거리다, 닿다, 단단하다, 간질간질하다, 부드럽다, 날카롭다"
감각,촉각,"뜨끔하다, 따끈하다, 포근하다, 뜨뜻하다, 쌀랑하다, 뜨겁다, 춥다, 화끈하다, 시원하다, 따스하다, 차갑다, 따듯하다"
